ID_LIEU,CODE_POSTAL,VILLE,DEPARTEMENT,REGION,PAYS,LATITUDE,LONGITUDE
208,1330,Birieux,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.95549015873016,5.03952698412698
209,1330,Villars-les-Dombes,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.99901502762428,5.04054806629834
210,1330,Sainte-Olive,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.01548210084034,4.93495974789916
211,1330,Versailleux,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.98437873626375,5.11586318681319
212,1330,Bouligneux,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.02179032863847,4.99935234741784
213,1340,Marsonnas,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.34069946058091,5.06549697095435
214,1340,Montrevel-en-Bresse,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.32555895705522,5.11098049079754
215,1340,Saint-Sulpice,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.32056083333335,5.04282476190476
216,1340,Attignat,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.28585890350878,5.18164934210526
217,1340,Étrez,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.34143740506327,5.19624873417722
218,1340,Foissiat,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.37832578431377,5.18714470588235
219,1340,Jayat,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.37024833333335,5.11187887387388
220,1340,Béréziat,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.36875927272729,5.04074624242425
221,1340,Saint-Didier-d\'Aussiat,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.30805965811967,5.05480594017093
222,1340,Malafretaz,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.32603382352941,5.14056529411765
223,1340,Cras-sur-Reyssouze,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.31341524324326,5.17836886486486
224,1350,Béon,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.85839020618557,5.74585649484536
225,1350,Flaxieu,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.81177338983051,5.74084966101695
226,1350,Culoz,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.85586823529412,5.77543411764706
227,1350,Cressin-Rochefort,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.78432592105263,5.75889355263158
228,1350,Vongnes,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.81341219780218,5.72545725274725
229,1350,Pollieu,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.79210541666668,5.74926479166667
230,1350,Lavours,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.81343763636364,5.77354690909091
