,code,libelle
392,11274,Assistant / Assistante d'ingénieur-d'ingénieure
393,11276,Assistant / Assistante du chorégraphe
394,11277,Assistant / Assistante de direction en hôtellerie-restauration
395,11279,Assistant éducateur / Assistante éducatrice d'activités sportives
396,11281,Assistant / Assistante en cabinet médical
397,11283,Assistant / Assistante en montage d'opérations immobilières
398,11284,Assistant / Assistante en organisation
399,11285,Assistant / Assistante en publicité
400,11286,Assistant / Assistante export
401,11288,Assistant fonctionnel / Assistante fonctionnelle des systèmes d'information
402,11289,Assistant / Assistante forfaitiste
403,11291,Assistant / Assistante funéraire de plateau d'assistance
404,11293,Assistant / Assistante gestionnaire en immobilier
405,11294,Assistant / Assistante import
406,11296,Assistant / Assistante ludothécaire
407,11297,Assistant / Assistante maître d'hôtel
408,10861,Aide vendeur / Aide vendeuse de produits frais en gros
409,10862,Aide viticole
410,10863,Aide-agent / Aide-agente technique de nettoyage industriel
411,10865,Aide-biochimiste d'analyse industrielle
412,10866,Aide-biologiste d'analyse industrielle
413,10867,Aide-boucher / Aide-bouchère
414,10868,Aide-boulanger / Aide-boulangère
415,10869,Aide-charcutier / Aide-charcutière
416,10870,Aide-chimiste d'analyse industrielle
417,10871,Aide-comptable
418,10872,Aide-comptable facturier / Aide-comptable facturière
419,10873,Aide-conducteur / Aide-conductrice de machine à teindre en industrie textile
420,10875,Aide-déménageur / Aide-déménageuse
421,10876,Aide-géomètre-topographe
422,10877,Aide-livreur / Aide-livreuse
423,10878,Aide-machiniste sur équipements de production en industrie du bois
424,10880,Aide-magasinier / Aide-magasinière
425,10882,Aide-monteur / Aide-monteuse en montage-assemblage mécanique
426,10883,Aide-mouleur-stratifieur / Aide-mouleuse-stratifieuse
427,10885,Aide-pâtissier / Aide-pâtissière
428,10886,Aide-pépiniériste
429,10887,Aide-physicien / Aide-physicienne d'analyse industrielle
430,10889,Aide-rédacteur / Aide-rédactrice d'assurances
431,10891,Aide-soignant / Aide-soignante
432,10892,Aide-soignant / Aide-soignante à domicile
433,10893,Aide-soignant / Aide-soignante en gériatrie
