,code,libelle,codePostal,codeDepartement
6116,72386,YVRE L EVEQUE,72530,72
6117,70567,VILLERS SUR SAULNOT,70400,70
6118,63177,ISSERTEAUX,63270,63
6119,10344,ST LEGER PRES TROYES,10800,10
6120,24045,BOISSE,24560,24
6121,06002,AMIRAT,06910,06
6122,39154,CLAIRVAUX LES LACS,39130,39
6123,71473,ST RACHO,71800,71
6124,03125,LA GUILLERMIE,03250,03
6125,14571,ST DENIS DE MAILLOC,14100,14
6126,59334,LAUWIN PLANQUE,59553,59
6127,22177,PLEGUIEN,22290,22
6128,28352,ST MARTIN DE NIGELLES,28130,28
6129,50401,PIERREVILLE,50340,50
6130,22281,ST CARREUC,22150,22
6131,95426,MONTLIGNON,95680,95
6132,59589,THIANT,59224,59
6133,02150,CERNY EN LAONNOIS,02860,02
6134,89279,NOYERS,89310,89
6135,27363,LE LANDIN,27350,27
6136,10403,VERNONVILLIERS,10200,10
6137,40295,SAUGNAC ET MURET,40410,40
6138,02509,MONTHIERS,02400,02
6139,21661,VELARS SUR OUCHE,21370,21
6140,49054,CANDE,49440,49
6141,17114,COIVERT,17330,17
6142,69098,LES HALLES,69610,69
6143,43264,VILLENEUVE D ALLIER,43380,43
6144,33446,ST MARTIN DU PUY,33540,33
6145,25240,LES FINS,25500,25
6146,72334,SILLE LE GUILLAUME,72140,72
6147,70153,CINTREY,70120,70
6148,05027,CERVIERES,05100,05
6149,61165,LA FERRIERE BOCHARD,61420,61
6150,65394,ST PAUL,65150,65
6151,73039,BELMONT TRAMONET,73330,73
6152,29064,GOULVEN,29890,29
6153,02357,GRONARD,02140,02
6154,62681,QUIESTEDE,62120,62
6155,72130,FAY,72550,72
6156,78505,PRUNAY LE TEMPLE,78910,78
6157,29148,MESPAUL,29420,29
6158,65223,HORGUES,65310,65
6159,19094,JUILLAC,19350,19
6160,70504,TRAVES,70360,70
6161,41094,FRESNES,41700,41
6162,88087,CHANTRAINE,88000,88
6163,55119,CLERY LE PETIT,55110,55
6164,70141,CHATENOIS,70240,70
6165,45300,SANDILLON,45640,45
6166,61436,STE OPPORTUNE,61100,61
6167,61041,BELLOU LE TRICHARD,61130,61
6168,02718,SILLY LA POTERIE,02460,02
6169,76050,AVREMESNIL,76730,76
6170,77056,BURCY,77760,77
6171,02645,REUILLY SAUVIGNY,02850,02
6172,11346,ST JEAN DE PARACOL,11260,11
6173,52395,POINSON LES GRANCEY,52160,52
6174,25419,NANS,25680,25
6175,69215,ST JULIEN,69640,69
6176,98612,SIGAVE,98620,986
6177,51662,WITRY LES REIMS,51420,51
6178,78590,SENLISSE,78720,78
6179,08363,REVIN,08500,08
6180,38027,BARRAUX,38530,38
6181,89147,DRACY,89130,89
6182,34243,ST BAUZILLE DE PUTOIS,34190,34
6183,52398,POISSONS,52230,52
6184,80126,BOUTTENCOURT,80220,80
6185,02149,CERIZY,02240,02
6186,76107,BOIS GUILBERT,76750,76
6187,89465,VILLEPERROT,89140,89
6188,23124,MARSAC,23210,23
6189,76679,SOMMESNIL,76560,76
6190,51460,RIEUX,51210,51
6191,01379,ST MAURICE DE REMENS,01500,01
6192,76220,DOUVREND,76630,76
6193,48065,FRAISSINET DE FOURQUES,48400,48
6194,42097,LA FOUILLOUSE,42480,42
6195,59488,RAILLENCOURT STE OLLE,59554,59
6196,52253,JUZENNECOURT,52330,52
6197,77147,LA CROIX EN BRIE,77370,77
6198,14273,LA FOLLETIERE ABENON,14290,14
6199,63225,MESSEIX,63750,63
6200,14587,ST GERMAIN LA BLANCHE HERBE,14280,14
6201,39569,VILLERS FARLAY,39600,39
6202,71221,GIVRY,71640,71
6203,76314,GRAIMBOUVILLE,76430,76
6204,16217,MERPINS,16100,16
6205,04152,PIERREVERT,04860,04
6206,81231,ROUAIROUX,81240,81
6207,59003,AIBES,59149,59
6208,64187,CHARRITTE DE BAS,64130,64
6209,71039,BLANOT,71250,71
6210,24533,SERVANCHES,24410,24
6211,33513,SILLAS,33690,33
6212,22144,LA MEAUGON,22440,22
6213,69031,BRUSSIEU,69690,69
6214,51437,POILLY,51170,51
6215,59075,BETHENCOURT,59540,59
6216,57415,LORRY LES METZ,57050,57
6217,51139,CHAUDEFONTAINE,51800,51
6218,68185,LIEPVRE,68660,68
6219,21710,VITTEAUX,21350,21
6220,17381,ST PARDOULT,17400,17
6221,62867,WACQUINGHEN,62250,62
6222,17004,ILE D AIX,17123,17
6223,02520,MONT NOTRE DAME,02220,02
6224,57574,BASSE RENTGEN,57570,57
6225,46139,LABATHUDE,46120,46
6226,87202,VEYRAC,87520,87
6227,50272,TOURNEVILLE SUR MER,50660,50
6228,84002,ANSOUIS,84240,84
6229,56083,HENNEBONT,56700,56
6230,83016,LE BEAUSSET,83330,83
6231,81065,CASTRES,81100,81
6232,23012,AURIAT,23400,23
